Tweet,Target,Stance
"@ChooseToBFree @xfranman @NBCNews Thomas Jefferson & George Washington did not believe in an afterlife, Thomas Paine was atheist #SemST",Atheism,FAVOR
@WhiteHouse @POTUS #Imagine no religion. There's no God. Loving one another unconditionally is what matters. WTG USA! #LoveWins #SemST,Atheism,FAVOR
"@davidpakmanshow @LiberalBias If hell existed, Bush would be first in line, ""Christian"" or not. Morality transcends religion. #SemST",Atheism,FAVOR
"Sikhism is not any better either, we have to finish all religions. ;-) @Saimarani13 @BeingHu62727983 @MaheshHindu @Po_st @Swamy39 #SemST",Atheism,FAVOR
"I think Jesus said it best when He said, ""Don't cum in me Peter."" #bible #SemST",Atheism,FAVOR
If theists had a big mountain of evidence for their god do you think we'd ever fucking hear the word Faith again? #bible #god #SemST,Atheism,FAVOR
"If you regularly base your thoughts on superstitions, you might not be able to think well. #freethinker #SemST",Atheism,FAVOR
@robeddy24: @NurseRatchets @ATHE1STP0WER Certainly...both Matthew and John were eyewitnesses Liar #lyingforjesus #SemST,Atheism,FAVOR
"Religious people are people too...... Just bigoted,genitalia mutilating, angry gullible people #SemST",Atheism,FAVOR
Religious leaders are like political leaders - they say what they think people want to hear. #freethinker #SemST,Atheism,FAVOR
"That nagging doubt you keep having about god? Gods not testing u, it's your intellect trying to tell you your beliefs are bullshit. #SemST",Atheism,FAVOR
"If we are unsure whether something is halal or haram, we should leave it - this will #safeguard our #deen #rule #SemST",Atheism,AGAINST
"I believe that too often religious people do good for the same reasons non-religious do, but they give undo credit to their faith. #SemST",Atheism,AGAINST
"#AskBobby If you were president, would you institute the Christian version of Sharia Law? #SemST",Atheism,AGAINST
"@ktumulty The same reasons people believe in the Bible, Koran, Talmud, etc. Ignorance. Lack of education. Poverty of intelligence. #SemST",Atheism,AGAINST
